epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1238,1.07582,2.84466,1.39283,0.59332,0.18365,0.32343,0.19572,1.18191,2.92707,1.58833,0.0003636,0.0003636,0.0003636
2,20.6857,1.14009,2.24377,1.4231,0.29872,0.40073,0.2752,0.16021,1.4275,2.73636,1.9531,0.000709714,0.000709714,0.000709714
3,28.1811,1.15508,2.08324,1.41849,0.24251,0.34736,0.21602,0.13067,1.51834,2.91421,1.91206,0.00103139,0.00103139,0.00103139
4,33.9562,1.17308,2.02578,1.45605,0.54833,0.36599,0.34746,0.1836,1.54638,2.86894,2.03735,0.00100101,0.00100101,0.00100101
5,39.6125,1.18126,1.9895,1.45301,0.26546,0.36093,0.28856,0.14941,1.61382,3.38632,1.9302,0.000964348,0.000964348,0.000964348
6,45.2742,1.16118,1.8441,1.41218,0.6278,0.31549,0.37835,0.24557,1.40601,2.11816,1.78784,0.000927685,0.000927685,0.000927685
7,50.9463,1.12535,1.77418,1.41434,0.41017,0.39455,0.38497,0.24115,1.38927,2.01842,1.70329,0.000891022,0.000891022,0.000891022
8,56.5906,1.09633,1.67278,1.37887,0.59668,0.38421,0.44834,0.29993,1.35859,2.0579,1.74542,0.000854359,0.000854359,0.000854359
9,62.382,1.09888,1.62365,1.37437,0.53861,0.52364,0.50721,0.31209,1.3228,1.8243,1.64356,0.000817696,0.000817696,0.000817696
10,68.051,1.06026,1.56296,1.36049,0.5334,0.50833,0.52107,0.33991,1.26815,1.77317,1.61827,0.000781033,0.000781033,0.000781033
11,73.6733,1.04696,1.48287,1.35422,0.53716,0.50537,0.5004,0.34163,1.29256,1.86233,1.63371,0.00074437,0.00074437,0.00074437
12,79.2694,1.01018,1.39098,1.31004,0.46577,0.42699,0.44457,0.30227,1.4008,1.90173,1.72412,0.000707707,0.000707707,0.000707707
13,84.8618,0.97704,1.28775,1.28864,0.63191,0.48525,0.51724,0.36247,1.29343,1.66982,1.58244,0.000671044,0.000671044,0.000671044
14,90.4994,0.95919,1.25875,1.29,0.56211,0.55584,0.54658,0.36729,1.23944,1.69984,1.55899,0.000634381,0.000634381,0.000634381
15,96.1534,0.95245,1.24823,1.27596,0.49799,0.57772,0.49999,0.33207,1.29711,1.72222,1.60567,0.000597718,0.000597718,0.000597718
16,101.809,0.9456,1.15785,1.2564,0.5839,0.54503,0.57197,0.39773,1.21544,1.61072,1.54878,0.000561055,0.000561055,0.000561055
17,107.447,0.91017,1.14225,1.25165,0.67646,0.5076,0.58508,0.42154,1.20013,1.63159,1.5212,0.000524392,0.000524392,0.000524392
18,113.245,0.90349,1.12073,1.2384,0.54142,0.63223,0.57791,0.3926,1.23644,1.55321,1.57396,0.000487729,0.000487729,0.000487729
19,118.881,0.86188,1.05187,1.21776,0.56973,0.53876,0.54347,0.39972,1.16567,1.69355,1.5316,0.000451066,0.000451066,0.000451066
20,124.535,0.84742,1.01543,1.20798,0.60339,0.54592,0.57112,0.39525,1.17433,1.52753,1.53749,0.000414403,0.000414403,0.000414403
21,156.398,0.83393,0.9724,1.20193,0.63657,0.54973,0.56253,0.4125,1.10952,1.56042,1.46974,0.00037774,0.00037774,0.00037774
22,162.408,0.78022,0.9009,1.15804,0.66082,0.55177,0.59237,0.41617,1.17712,1.53101,1.52878,0.000341077,0.000341077,0.000341077
23,168.021,0.75776,0.85651,1.13827,0.72054,0.53479,0.58915,0.43274,1.16456,1.52159,1.52196,0.000304414,0.000304414,0.000304414
24,173.618,0.71674,0.79566,1.11772,0.68206,0.55337,0.59858,0.42802,1.18118,1.56813,1.54125,0.000267751,0.000267751,0.000267751
25,179.217,0.70191,0.73348,1.10253,0.64269,0.57219,0.58736,0.42264,1.1302,1.4935,1.48177,0.000231088,0.000231088,0.000231088
26,184.761,0.66778,0.68804,1.08631,0.67328,0.52392,0.5734,0.41287,1.13329,1.57736,1.46724,0.000194425,0.000194425,0.000194425
27,190.316,0.64993,0.6726,1.07361,0.65024,0.53713,0.58112,0.42418,1.1319,1.54754,1.52188,0.000157762,0.000157762,0.000157762
28,195.881,0.6292,0.63947,1.05123,0.6076,0.6079,0.57834,0.42447,1.12795,1.5346,1.49901,0.000121099,0.000121099,0.000121099
29,201.44,0.62106,0.60957,1.03405,0.70359,0.57492,0.59343,0.42511,1.11824,1.44384,1.50836,8.4436e-05,8.4436e-05,8.4436e-05
30,207.009,0.60844,0.59249,1.0481,0.71225,0.53852,0.57883,0.42545,1.10706,1.47363,1.49665,4.7773e-05,4.7773e-05,4.7773e-05
